ticker,short,long,strategy_cagr,bh_cagr,edge,strategy_sharpe,bh_sharpe,sharpe_edge,strategy_max_drawdown,bh_max_drawdown,round_trip_trades,pct_days_in_market
KO,5,50,0.04896535077972897,0.09707657715288254,-0.04811122637315357,0.2275096947728769,0.43529764595034526,-0.20778795117746834,-0.1725002563593795,-0.3698752025660125,29.0,63.74269005847953
KO,5,100,0.04308316900909337,0.08616014213086576,-0.04307697312177239,0.18200411893585505,0.382347399289405,-0.20034328035354992,-0.18421095370670065,-0.3698752025660124,19.0,66.98795180722892
KO,5,150,0.018412424559081986,0.08160797164350275,-0.06319554708442077,0.012539571607053119,0.3603178356763019,-0.3477782640692488,-0.1968393171731555,-0.36987520256601264,16.0,70.43478260869566
KO,5,200,0.0014506960979703276,0.07688674619551672,-0.07543605009754639,-0.09281271279628778,0.3360021520526599,-0.42881486484894765,-0.2761500704207584,-0.3698752025660125,15.0,73.97435897435898
KO,10,50,0.05141729882689394,0.09707657715288254,-0.045659278325988595,0.24337777134710684,0.43529764595034526,-0.19191987460323842,-0.17846693527244525,-0.3698752025660125,21.5,63.39181286549708
KO,10,100,0.008624712553229275,0.08616014213086576,-0.07753542957763648,-0.05716930336415364,0.382347399289405,-0.43951670265355863,-0.2328826855127144,-0.3698752025660124,16.0,67.10843373493975
KO,10,150,0.013697324056143101,0.08160797164350275,-0.06791064758735965,-0.014032404214430479,0.3603178356763019,-0.37435023989073235,-0.23480626725947507,-0.36987520256601264,12.0,70.4968944099379
KO,10,200,0.027249882780890466,0.07688674619551672,-0.04963686341462625,0.0761570389442464,0.3360021520526599,-0.25984511310841346,-0.21569933063665217,-0.3698752025660125,8.0,74.48717948717949
KO,20,50,0.041535094949721296,0.09707657715288254,-0.05554148220316124,0.17149974515878325,0.43529764595034526,-0.263797900791562,-0.2913193026691214,-0.3698752025660125,19.5,64.44444444444444
KO,20,100,0.016022428243789077,0.08616014213086576,-0.07013771388707668,0.005756697877570174,0.382347399289405,-0.3765907014118348,-0.24502501969618232,-0.3698752025660124,12.0,66.86746987951807
